x,y,theta
5,0,1.5707963267949
4.95895006911623,0.63938580842253,1.69902459836999
4.83647431519515,1.26827291954754,1.82725286994508
4.63458378673011,1.87633502439687,1.95548114152018
4.35659352061695,2.45358776001969,2.08370941309527
4.00706810933978,2.99055265245608,2.21193768467036
3.59174675048864,3.47841275301743,2.34016595624546
3.11744900929367,3.90915741234015,2.46839422782055
2.59196284155263,4.27571381502673,2.59662249939565
2.02391671561197,4.57206311507906,2.72485077097074
1.42263793315516,4.7933392651833,2.85307904254583
0.797999475166898,4.93590891707225,2.98130731412093
0.160257887858277,4.99743108100344,3.10953558569602
-0.480115129538409,4.97689556474599,3.23776385727111
-1.11260466978157,4.87463956090912,3.36599212884621
-1.72682527210654,4.6923421102488,3.4942204004213
-2.31269145120418,4.432996531865,3.62244867199639
-2.86058330061085,4.10086127298478,3.75067694357149
-3.36150445130658,3.70138998537658,3.87890521514658
-3.80722979184567,3.24114197653894,4.00713348672167
-4.1904405244592,2.72767450605274,4.13536175829677
-4.5048443395121,2.16941869558779,4.26359002987186
-4.74527873505334,1.57554109011811,4.39181830144696
-4.90779578495533,0.955793143506863,4.52004657302205
-4.98972696375168,0.320351099903566,4.64827484459714
-4.98972696375168,-0.320351099903565,4.77650311617224
-4.90779578495533,-0.955793143506861,4.90473138774733
-4.74527873505334,-1.5755410901181,5.03295965932242
-4.5048443395121,-2.16941869558779,5.16118793089752
-4.1904405244592,-2.72767450605274,5.28941620247261
-3.80722979184567,-3.24114197653894,5.4176444740477
-3.36150445130659,-3.70138998537658,5.5458727456228
-2.86058330061085,-4.10086127298478,5.67410101719789
-2.31269145120418,-4.432996531865,5.80232928877299
-1.72682527210654,-4.6923421102488,5.93055756034808
-1.11260466978157,-4.87463956090912,6.05878583192317
-0.480115129538408,-4.97689556474599,6.18701410349827
0.160257887858274,-4.99743108100344,6.31524237507336
0.797999475166892,-4.93590891707225,6.44347064664845
1.42263793315516,-4.7933392651833,6.57169891822355
2.02391671561197,-4.57206311507906,6.69992718979864
2.59196284155262,-4.27571381502673,6.82815546137373
3.11744900929367,-3.90915741234015,6.95638373294883
3.59174675048864,-3.47841275301743,7.08461200452392
4.00706810933978,-2.99055265245608,7.21284027609901
4.35659352061695,-2.45358776001969,7.34106854767411
4.63458378673011,-1.87633502439687,7.4692968192492
4.83647431519515,-1.26827291954754,7.5975250908243
4.95895006911623,-0.639385808422533,7.72575336239939
5,-1.22464679914735e-15,7.85398163397448
